,associated_work,MCorMD,engine,molecule,replicate,temperature,density,density-std,forcefield
728,MoSDeF,MC,cassandra,methaneUA,8,140.0,0.37551142773999996,0.004459083567311608,trappe-ua
729,MoSDeF,MD,gromacs,waterSPCE,7,300.0,0.9978560228139918,0.007421100358116787,spce
730,MoSDeF,MD,lammps-VU,waterSPCE,9,320.0,0.9866217805018614,0.007848679723375477,spce
731,MoSDeF,MC,mcccs,waterSPCE,11,280.0,1.0059993945183128,0.007792070277344284,spce
732,MoSDeF,MC,gomc,waterSPCE,4,280.0,1.00558388197775,0.0065941968868314825,spce
733,MoSDeF,MD,hoomd,waterSPCE,1,280.0,1.0065490837577904,0.0072894187888082424,spce
734,MoSDeF,MC,cassandra,ethanolAA,3,300.0,0.7910139674366666,0.007165671994144134,oplsaa
735,MoSDeF,MC,mcccs,benzeneUA,5,450.0,0.6981749889541382,0.013574206195639486,benzene-ua
736,MoSDeF,MD,hoomd,waterSPCE,9,320.0,0.9861756188837814,0.007845562940037043,spce
737,MoSDeF,MD,gromacs,benzeneUA,6,450.0,0.695797547839065,0.02194093289769563,benzene-ua
738,MoSDeF,MD,gromacs,waterSPCE,5,280.0,1.0067789177516058,0.007342047299602046,spce
739,MoSDeF,MD,gromacs,methaneUA,12,140.0,0.375886874901631,0.00459405440287891,trappe-ua
740,MoSDeF,MC,cassandra,ethanolAA,4,280.0,0.8117539980091666,0.006135062171159806,oplsaa
741,MoSDeF,MC,cassandra,waterSPCE,6,320.0,0.9858474680508332,0.008305189246802503,spce
742,MoSDeF,MD,lammps-VU,methaneUA,10,140.0,0.375895831970561,0.004511896324187126,trappe-ua
743,MoSDeF,MC,gomc,ethanolAA,7,320.0,0.769351109918,0.007841100116640238,oplsaa
744,MoSDeF,MC,mcccs,ethanolAA,7,320.0,0.7685095686510567,0.007767350086559681,oplsaa
745,MoSDeF,MD,gromacs,waterSPCE,5,320.0,0.9864435716494396,0.007986634954517425,spce
746,MoSDeF,MD,lammps-VU,ethanolAA,9,280.0,0.8161759539875897,0.0065697966641465625,oplsaa
747,MoSDeF,MD,hoomd,benzeneUA,8,450.0,0.6992085370445553,0.013660006755671705,benzene-ua
